setup_type,forecast_direction,primary_regime,ticker_archetype,sample_size,true_during_week_rate,average_best_correct_return_pct,average_adverse_move_pct,average_held_to_end_pl_per_share,average_conviction_score,recommended_score_adjustment
NO_CLEAN_SETUP,DOWN,HIGH_VOL,CYCLICAL,1,0.0,1.42,-13.53,-8.8463,5.0,0
NO_CLEAN_SETUP,UP,HIGH_VOL,MOMENTUM_HIGH_BETA,1,0.0,3.78,-29.7,-85.2125,13.0,0
NO_CLEAN_SETUP,NEUTRAL,NORMAL,NORMAL,17196,0.0,0.0,0.0,0.0,5.0,-10
NO_CLEAN_SETUP,NEUTRAL,HIGH_VOL,NORMAL,3998,0.0,0.0,0.0,0.0,5.0,-10
NO_CLEAN_SETUP,NEUTRAL,NORMAL,DEFENSIVE_STABLE,484,0.0,0.0,0.0,0.0,5.0,-10
NO_CLEAN_SETUP,NEUTRAL,NORMAL,CYCLICAL,359,0.0,0.0,0.0,0.0,5.0,-10
NO_CLEAN_SETUP,NEUTRAL,NORMAL,MOMENTUM_HIGH_BETA,222,0.0,0.0,0.0,0.0,5.09,-10
NO_CLEAN_SETUP,NEUTRAL,NORMAL,FINANCIAL,209,0.0,0.0,0.0,0.0,5.0,-10
NO_CLEAN_SETUP,NEUTRAL,HIGH_VOL,DEFENSIVE_STABLE,104,0.0,0.0,0.0,0.0,5.0,-10
NO_CLEAN_SETUP,NEUTRAL,NORMAL,MEGA_CAP_TECH,104,0.0,0.0,0.0,0.0,5.0,-10
NO_CLEAN_SETUP,NEUTRAL,HIGH_VOL,CYCLICAL,68,0.0,0.0,0.0,0.0,5.0,-10
NO_CLEAN_SETUP,NEUTRAL,HIGH_VOL,MOMENTUM_HIGH_BETA,63,0.0,0.0,0.0,0.0,5.08,-10
NO_CLEAN_SETUP,NEUTRAL,HIGH_VOL,FINANCIAL,54,0.0,0.0,0.0,0.0,5.0,-10
NO_CLEAN_SETUP,NEUTRAL,HIGH_VOL,MEGA_CAP_TECH,30,0.0,0.0,0.0,0.0,5.0,-10
OVERSOLD_BOUNCE,UP,NORMAL,NORMAL,27,33.33,1.387,-3.449,-2.3416,5.63,-10
